"","Intercept","age_young_vs_old","Q1.00"
"ENSNFUG00015000040",1.50501981858,-1.36642884710057,-0.00342327534266777
"ENSNFUG00015000041",4.55500178255909,-0.450044059925865,0.000353582306187033
"ENSNFUG00015000042",8.87652801241071,-0.180263809969787,0.00026448225280909
"ENSNFUG00015000043",10.599269677704,-0.292067353454048,-0.000719929798466566
"ENSNFUG00015000044",6.7518468687496,0.493355612634512,-0.00093706204428958
"ENSNFUG00015000045",8.14263739177541,-0.419004096687613,0.00014444375638499
"ENSNFUG00015000046",3.3390132282974,-0.516257296147156,0.000864556503018309
"ENSNFUG00015000047",8.64441075457761,0.0642959146551758,-6.51523677753359e-07
"ENSNFUG00015000048",6.86157690656094,-0.0513356359111466,-0.00020070970877022
"ENSNFUG00015000049",9.45156353423959,-0.457960168956269,0.000152295776427688
"ENSNFUG00015000050",8.06428613393398,-0.202035495234095,7.70824963562529e-05
"ENSNFUG00015000051",9.15625809679606,-0.135245096808461,-0.000578267113064394
"ENSNFUG00015000052",7.60024105030528,-0.397583982480415,-3.86947070563205e-05
"ENSNFUG00015000053",2.10006591467709,-0.766303598641325,0.00191850312537438
"ENSNFUG00015000054",8.57064638294134,0.337579043515431,2.47215952870339e-05
"ENSNFUG00015000055",5.08431507541532,0.612192499124655,9.78849692696991e-05
"ENSNFUG00015000056",2.67513075763524,0.309484483533351,8.91300859853527e-05
"ENSNFUG00015000058",9.58346954975974,-0.0732177363498519,2.41163048464744e-05
"ENSNFUG00015000063",6.58716310811624,0.0744504169951863,-0.000558949169807246
"ENSNFUG00015000126",8.97745829592724,-0.146374595304389,0.00024883970607621
"ENSNFUG00015000127",8.25676798841369,0.588417637481604,0.000336445553171631
"ENSNFUG00015000133",4.9756698173077,-0.0527581800517189,0.000938024715046141
"ENSNFUG00015000165",-1.10265473388768,1.9192837512863,-0.00275447846669729
"ENSNFUG00015000166",5.73205147311544,2.3781403356689,-0.00432618150900011
"ENSNFUG00015000167",-0.280232455432657,1.95512580338175,-0.002219395952737
"ENSNFUG00015000168",5.81856321506586,-0.982046121490971,2.49102247143109e-05
"ENSNFUG00015000176",7.05167364518648,0.00393767925822573,-4.89128297484003e-05
"ENSNFUG00015000179",7.59888560502756,0.264647569657195,-9.12239543844459e-05
"ENSNFUG00015000180",8.42770415772248,1.88384431790733,-0.0031510518118142
"ENSNFUG00015000184",6.45744531597084,2.55665885692396,-0.00261829695732646
"ENSNFUG00015000189",2.32810275416935,0.6175150702573,7.80024291596528e-05
"ENSNFUG00015000192",-0.582565967973683,0.356153562911832,-0.00080527994154863
"ENSNFUG00015000196",7.84686267166693,1.72251930831865,-0.00414789962485803
"ENSNFUG00015000197",7.50315937886237,-0.472442059096342,0.000497394074342137
"ENSNFUG00015000201",1.34476197447603,-0.564701281303025,0.00208891163707975
"ENSNFUG00015000204",7.05185398750559,0.339548844163771,-0.000837050051583614
"ENSNFUG00015000207",8.17260395155428,2.01770744089525,-0.00396755671445215
"ENSNFUG00015000208",9.29933667214517,-0.490405737178793,0.000366080241873612
"ENSNFUG00015000209",9.96652571153446,-0.206541981245417,3.5895046930796e-05
"ENSNFUG00015000213",12.9277187111445,-0.420581196156278,0.000590831260369893
"ENSNFUG00015000214",9.06864607093723,1.43457253407828,-0.00172991609722823
"ENSNFUG00015000218",6.50553449032305,2.1232267237947,-0.00278034894756928
"ENSNFUG00015000221",8.59381836451129,2.27373443279233,-0.0042687850684743
"ENSNFUG00015000228",3.01598601413066,2.70550294839879,-0.00508996803500295
"ENSNFUG00015000230",6.9778735871343,0.0196106512198621,-0.000230386468931719
"ENSNFUG00015000231",5.63444234562576,0.886731678283691,0.000427964372654273
"ENSNFUG00015000246",5.91196204109579,0.309942858712927,-0.000202089605871979
"ENSNFUG00015000247",8.21549209608916,-0.638754793470715,0.000688142440213254
"ENSNFUG00015000251",1.96035008035489,0.444868436612638,0.000428327328719071
"ENSNFUG00015000260",4.68372956305894,-0.435865264388228,0.00130337042851477
"ENSNFUG00015000263",2.53424924340618,1.2673630086786,-0.001761843834858
"ENSNFUG00015000268",4.00095931064411,1.6077135954153,-0.00205646725331522
"ENSNFUG00015000269",12.9679027859263,-0.791095947052316,0.000395906580581299
"ENSNFUG00015000273",3.50622957369229,0.669710885780808,-0.00049587148627245
"ENSNFUG00015000278",5.75184994734508,0.544101813018044,-0.00108798010074589
"ENSNFUG00015000282",1.54940784191957,0.413122224355319,0.000634255193173422
"ENSNFUG00015000291",3.82164226217073,3.28954687326114,-0.00184350162850626
"ENSNFUG00015000294",3.89664462526784,-0.460502191761849,0.00313208916449425
"ENSNFUG00015000299",6.97981097354579,-0.158013723391606,0.000473609266628391
"ENSNFUG00015000302",-0.41652683730578,0.454281109681547,-0.00162491950910861
"ENSNFUG00015000304",8.90951749927396,-0.462814391863308,0.000553646511882816
"ENSNFUG00015000306",6.28232161424568,-0.121710022161698,2.60164334289291e-05
"ENSNFUG00015000309",6.05752360645459,0.510632670265448,-0.00213381069148645
"ENSNFUG00015000310",10.2204426950116,-0.292359501409838,-0.000370746045125369
"ENSNFUG00015000320",4.3070928541767,-0.686979475196672,-0.000429094956413251
"ENSNFUG00015000330",10.3590187696322,-0.119404895344389,9.26807953776724e-05
"ENSNFUG00015000338",4.61919014631113,-0.00526217112796964,-0.000200367166057258
"ENSNFUG00015000351",9.66761102594809,-0.146909051334509,-0.000175872390348932
"ENSNFUG00015000352",8.02720704836454,0.649925764489656,4.27702834047122e-05
"ENSNFUG00015000353",-1.96320565907011,-0.498403606955245,0.00209617762386126
"ENSNFUG00015000357",-1.01384550282578,0.352820042251626,0.000574912814059391
"ENSNFUG00015000358",-1.89325475734528,-2.58123040950041,0.0080131649551175
"ENSNFUG00015000361",11.01393339956,0.141397578961043,-0.000409424443746892
"ENSNFUG00015000364",1.04781692078248,0.437771670346192,-0.00306893946251877
"ENSNFUG00015000368",8.29806717175612,-0.586081815420098,0.000479321191017727
"ENSNFUG00015000375",0.081884643402651,2.41527749814988,-0.00468716211736395
"ENSNFUG00015000378",-1.74235430536559,-0.228759107360206,-0.00168288772491863
"ENSNFUG00015000380",0.11282278156964,-0.440852154604907,-0.00053490548161364
"ENSNFUG00015000382",9.25498371673378,0.216477267059275,-0.000108632816176187
"ENSNFUG00015000387",8.15629355518173,-0.163326397693158,0.000428227685896638
"ENSNFUG00015000388",3.88675986451517,0.423957844012446,-0.000862038776446872
"ENSNFUG00015000392",5.38161311387843,3.12973334053206,-0.00187609698724019
"ENSNFUG00015000397",8.26489267544529,0.157492051307799,0.000167252299789651
"ENSNFUG00015000398",9.06471635631932,-0.322525436482414,0.00114421893211018
"ENSNFUG00015000424",8.88303457742524,-0.135962032182745,0.000264912453418477
"ENSNFUG00015000428",10.7966550583275,-0.242260749585873,0.00107483165039238
"ENSNFUG00015000443",10.8383077286105,0.90120029511679,0.000335024366227071
"ENSNFUG00015000453",6.34882981179475,-0.26112338295845,0.000342729007212149
"ENSNFUG00015000459",5.75401256414213,-0.465481956266911,0.00120375508784493
"ENSNFUG00015000463",8.78251287403399,-0.302797231166916,0.000456649355180626
"ENSNFUG00015000467",9.37765834518311,-0.734007419115229,0.000739976473986794
"ENSNFUG00015000475",7.96704864214165,0.842668576773476,-0.000882153499849302
"ENSNFUG00015000479",7.64630060141833,-0.680139340611301,0.000443935073313725
"ENSNFUG00015000482",8.98781253544477,0.0827261780254741,0.000322802458224635
"ENSNFUG00015000486",8.09703432792081,-0.270264557214346,-3.64460547414616e-05
"ENSNFUG00015000494",8.61213552945509,0.203265596647199,-0.000110876124337048
"ENSNFUG00015000508",10.5184401715322,0.324794477839429,-0.000385729102215671
"ENSNFUG00015000514",3.84680455576819,0.194215014734241,-0.000295768534259273
"ENSNFUG00015000524",-0.288109513783642,3.0258040580402,-0.00814745049961106
"ENSNFUG00015000527",6.04002396735903,1.26499949291913,-0.000891061496868483
"ENSNFUG00015000537",-1.74569303364793,0.47759524286722,-0.00162573717657216
"ENSNFUG00015000544",-0.229494762519827,0.903731847568097,-0.00338286893006938
"ENSNFUG00015000551",0.720578875783602,0.0603493836925785,0.000888361705616541
"ENSNFUG00015000556",2.92905683309266,-0.229022529930052,0.00165018713944113
"ENSNFUG00015000567",0.431545053165658,1.07678058825487,-0.000486874271255228
"ENSNFUG00015000569",4.54104244288246,1.08313446324762,-0.000181693945872956
"ENSNFUG00015000575",-2.24445804801555,0.468660322545299,0.00197155484093241
"ENSNFUG00015000582",1.78000186672735,-0.543816025529405,0.00183950418171476
"ENSNFUG00015000584",8.50560389430111,0.331711513719041,-0.000277033155630042
"ENSNFUG00015000586",7.68622302645872,0.747040881943445,-0.00107760038443394
"ENSNFUG00015000600",7.03913442826909,-0.161933794803518,0.00044010339001375
"ENSNFUG00015000605",2.99493083920121,2.34202589496569,-0.00151436330549236
"ENSNFUG00015000612",8.61498669763078,0.787703755695257,-0.0009967999036965
"ENSNFUG00015000615",8.24459551859169,0.808740203519856,0.000364813362187324
"ENSNFUG00015000622",6.17806084200941,0.0898459622560566,0.000527522748526901
"ENSNFUG00015000627",-1.74235430536559,-0.228759107360206,-0.00168288772491863
"ENSNFUG00015000629",8.80687979477254,-0.324065579100858,0.00132466834263096
"ENSNFUG00015000634",5.75369569229095,0.20052269208177,0.000997394431640894
"ENSNFUG00015000636",1.79066186542073,0.802105011917706,-0.00266098261557418
"ENSNFUG00015000637",2.40240015755144,0.595310453265305,0.000551229663440157
"ENSNFUG00015000640",2.41242441230311,1.00284477860825,-0.00237063791041511
"ENSNFUG00015000645",1.94458888719561,-0.954610571209334,-0.00245626203344498
"ENSNFUG00015000647",0.0524400427333045,1.70756705918155,-0.00401952829620211
"ENSNFUG00015000648",-0.687775258211035,1.78987241182888,-0.0054090384731431
