"","Intercept","age_young_vs_old","Q2.00"
"ENSNFUG00015000040",1.42211968096619,-3.13770669863932,0.00292648301347683
"ENSNFUG00015000041",4.56428586965932,-0.435660446532744,0.000476276969016295
"ENSNFUG00015000042",8.88564333331114,-0.157909932720702,0.000282121407244866
"ENSNFUG00015000043",10.569144324064,-0.497611527079862,-6.77966597701273e-05
"ENSNFUG00015000044",6.72387961710411,0.430695135600105,-0.00109791763027015
"ENSNFUG00015000045",8.14545745559155,-0.422090493046448,0.000243175872014175
"ENSNFUG00015000046",3.33590042684403,-0.726241811779066,0.00235896145166858
"ENSNFUG00015000047",8.64625863601371,0.0773968627587544,-7.9281230162903e-05
"ENSNFUG00015000048",6.85556612591482,-0.0619352324250661,-0.000250011312447366
"ENSNFUG00015000049",9.45226350518753,-0.477751968519773,0.000352983982085929
"ENSNFUG00015000050",8.06707446895923,-0.194288414164589,7.48449306708997e-05
"ENSNFUG00015000051",9.13784055800851,-0.179752615799537,-0.000639220321587899
"ENSNFUG00015000052",7.60192890076158,-0.38025035692636,-0.000166176550234496
"ENSNFUG00015000053",2.1885171295533,-0.611429888861951,0.00190727020993081
"ENSNFUG00015000054",8.58253917231455,0.404620822235243,-0.000393592630096616
"ENSNFUG00015000055",5.09438718973123,0.662501109717855,-0.000158755177566935
"ENSNFUG00015000056",2.66438978778125,0.211481888144291,0.000686093968074464
"ENSNFUG00015000058",9.58227190480954,-0.0858971543644342,0.00011211991876654
"ENSNFUG00015000063",6.57797702032137,0.0972228981677162,-0.00102329189952403
"ENSNFUG00015000126",8.98439418217563,-0.136199529477001,0.000329737172229955
"ENSNFUG00015000127",8.26459167137177,0.592297904772321,0.000506352956918272
"ENSNFUG00015000133",5.00496147911354,-0.0198838951495999,0.00123384643899352
"ENSNFUG00015000165",-1.16188447946941,1.85388315166233,-0.00438136059988491
"ENSNFUG00015000166",5.62080268650145,1.86387471140454,-0.00398251998139914
"ENSNFUG00015000167",-0.343497261193043,1.51372945899307,-0.00127889422704834
"ENSNFUG00015000168",5.81960483898577,-0.979097931382259,2.0499433379947e-05
"ENSNFUG00015000176",7.0567709591934,0.0448156747255469,-0.000329306942660892
"ENSNFUG00015000179",7.59818823940503,0.274457598935172,-0.000201323953919657
"ENSNFUG00015000180",8.34140362318393,1.56718047961923,-0.00318627298018414
"ENSNFUG00015000184",6.38539713164761,2.48597159361393,-0.00358665079523844
"ENSNFUG00015000189",2.31389108651625,0.483485028402075,0.000847623642636813
"ENSNFUG00015000192",-0.683155214995498,-0.948760109657245,0.00474491579161072
"ENSNFUG00015000196",7.74114019095604,1.24990913639215,-0.00398459881148215
"ENSNFUG00015000197",7.50949844809804,-0.507011853783441,0.000969041100706389
"ENSNFUG00015000201",1.3947856946616,-0.620719949956817,0.0033681289780961
"ENSNFUG00015000204",7.02041932036906,0.18797450567768,-0.000486492947868313
"ENSNFUG00015000207",8.06635674100332,1.52707144914533,-0.00356713354645227
"ENSNFUG00015000208",9.30941604885948,-0.477784908242582,0.000496266354780387
"ENSNFUG00015000209",9.96484580001314,-0.225766450845268,0.000167486806635699
"ENSNFUG00015000213",12.9460080372403,-0.384475728615688,0.000715592371682094
"ENSNFUG00015000214",9.02293919869336,1.38716824262156,-0.00240092632846875
"ENSNFUG00015000218",6.42455564705396,1.9400995501794,-0.003208241227617
"ENSNFUG00015000221",8.48233686966903,1.78788868926863,-0.00403581119736863
"ENSNFUG00015000228",2.88968698886731,2.08581108730986,-0.00460597041435404
"ENSNFUG00015000230",6.97415948517978,0.0298888180097633,-0.000422866797004578
"ENSNFUG00015000231",5.66150334448372,0.974828555913939,8.47489236193893e-05
"ENSNFUG00015000246",5.91271502995369,0.34549516807269,-0.000536783061310357
"ENSNFUG00015000247",8.22171343007821,-0.707161990119143,0.00143836061653822
"ENSNFUG00015000251",1.93502123407496,0.123777705378577,0.00227489244021589
"ENSNFUG00015000260",4.72151347627981,-0.40696687808457,0.00181636730389568
"ENSNFUG00015000263",2.47878068636056,1.10589880297107,-0.00178976626106934
"ENSNFUG00015000268",3.94864978174401,1.51991010469507,-0.00274738524130728
"ENSNFUG00015000269",12.9717058598533,-0.826688601654881,0.000820843299151265
"ENSNFUG00015000273",3.50537715848426,0.737170108764021,-0.00121694745406613
"ENSNFUG00015000278",5.73043108739843,0.56194082846375,-0.00183999485936135
"ENSNFUG00015000282",1.56531393855264,0.407126652985103,0.000990693359875485
"ENSNFUG00015000291",3.79269964739356,3.42970882685571,-0.00382402405559277
"ENSNFUG00015000294",4.02114600628503,-0.273084991496261,0.00370115238298163
"ENSNFUG00015000299",7.01250931303456,-0.0614168252520103,6.09387282851163e-05
"ENSNFUG00015000302",-0.503352910001697,-0.122792734686688,0.000575840108279742
"ENSNFUG00015000304",8.92140773755214,-0.462529350764476,0.00086663071436436
"ENSNFUG00015000306",6.2821302130219,-0.127407857144422,7.38189421958716e-05
"ENSNFUG00015000309",6.00810424034605,0.492291309213911,-0.00326888468725041
"ENSNFUG00015000310",10.2033804807013,-0.378017002880006,-0.00010285626709664
"ENSNFUG00015000320",4.31531974676601,-0.580904164191164,-0.00139513313153616
"ENSNFUG00015000330",10.3580962828279,-0.141141926050185,0.000271463563762474
"ENSNFUG00015000338",4.61723575332674,0.0136706398582058,-0.000426295528063612
"ENSNFUG00015000351",9.66204786790822,-0.159494067888346,-0.000200977691998868
"ENSNFUG00015000352",8.04017464978177,0.716118001245751,-0.000372773996650447
"ENSNFUG00015000353",-1.81249765611821,0.254153000426979,-0.00121455746896214
