"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSNFUG00015000040",2.15025829112346,-0.00342327534266777,0.00613925931936614,-0.557603965655782,0.577114847913158,0.936338044502665
"ENSNFUG00015000041",22.3697216679593,0.000353582306187033,0.00112381911560346,0.314625637949903,0.753045910781414,0.969990038698783
"ENSNFUG00015000042",465.438807340511,0.00026448225280909,0.000364146892942387,0.726306493162733,0.467650899690596,0.901912909447149
"ENSNFUG00015000043",1388.86718028095,-0.000719929798466566,0.000982989964284301,-0.73238774008312,0.463931939619544,0.900884506960366
"ENSNFUG00015000044",109.707480302001,-0.00093706204428958,0.000537100304018404,-1.74466861641819,0.0810425692326033,0.581806305587725
"ENSNFUG00015000045",264.933105529275,0.00014444375638499,0.000383079046028024,0.377059925053752,0.70612907204513,0.962121602057335
"ENSNFUG00015000046",9.97344002314359,0.000864556503018309,0.00176317905389174,0.490339594898223,0.623893613080011,0.946959050428556
"ENSNFUG00015000047",405.492250988033,-6.51523677753359e-07,0.000273224427281162,-0.00238457331299631,0.998097387572561,0.999557825378597
"ENSNFUG00015000048",112.823574520479,-0.00020070970877022,0.000530015640665141,-0.378686388421181,0.704920762351053,0.962019177070874
"ENSNFUG00015000049",653.880061821092,0.000152295776427688,0.000440001718879571,0.346125412454062,0.729248466051321,0.966193701645363
"ENSNFUG00015000050",259.159213027146,7.70824963562529e-05,0.00037062249630768,0.207981159061271,0.835243678576927,0.97967970157652
"ENSNFUG00015000051",529.078651079918,-0.000578267113064394,0.000454167772609774,-1.27324558883056,0.202930907911767,0.754209553396521
"ENSNFUG00015000052",180.274064801136,-3.86947070563205e-05,0.000489657298854344,-0.0790240585545338,0.937013486941315,0.99363136339724
"ENSNFUG00015000053",4.45184059973759,0.00191850312537438,0.00234655675451976,0.817582239031338,0.413595772578121,0.884920522702873
"ENSNFUG00015000054",409.601333627553,2.47215952870339e-05,0.000409693046993487,0.0603417496793078,0.951883451071631,0.99530087006026
"ENSNFUG00015000055",39.4804978908921,9.78849692696991e-05,0.00123717484283304,0.0791197540402208,0.936937371314496,0.99363136339724
"ENSNFUG00015000056",6.98584843599677,8.91300859853527e-05,0.00153487233150964,0.0580700323770172,0.953692844796665,0.99530087006026
"ENSNFUG00015000058",758.100470095401,2.41163048464744e-05,0.000221626454310921,0.108815100261639,0.913349146663416,0.989201160470123
"ENSNFUG00015000063",92.8158113924579,-0.000558949169807246,0.000519556974073549,-1.07581881814586,0.282008294496991,0.818884764922521
"ENSNFUG00015000126",500.97349674339,0.00024883970607621,0.000341152588575256,0.729408817079276,0.465751625977422,0.901119046815671
"ENSNFUG00015000127",363.860925150646,0.000336445553171631,0.000648699512779471,0.518646224551747,0.604007468215063,0.943177828802913
"ENSNFUG00015000133",33.9983074212329,0.000938024715046141,0.000678672625452013,1.38214608909766,0.166926849365582,0.715733460270098
"ENSNFUG00015000165",0.587714428971847,-0.00275447846669729,0.00564256939560052,-0.488160317327234,0.625436290003625,NA
"ENSNFUG00015000166",64.2484903845189,-0.00432618150900011,0.00172861073296702,-2.50269272687817,0.0123252499360809,0.267261324534219
"ENSNFUG00015000167",1.1018236552873,-0.002219395952737,0.00861222683880205,-0.257702914040489,0.796636196972823,NA
"ENSNFUG00015000168",48.6311647164503,2.49102247143109e-05,0.000790227376977762,0.0315228571421817,0.974852563837646,0.996139309592197
"ENSNFUG00015000176",132.018551655622,-4.89128297484003e-05,0.00052917753613631,-0.0924317953961691,0.926354978477663,0.991940056204046
"ENSNFUG00015000179",202.765991593553,-9.12239543844459e-05,0.000372616391836401,-0.244820025052731,0.806595787921711,0.976802455396828
"ENSNFUG00015000180",405.220191464863,-0.0031510518118142,0.00116588168723921,-2.70272004981556,0.00687746441616564,0.204648918626669
"ENSNFUG00015000184",143.305235612249,-0.00261829695732646,0.00148133056928854,-1.76753049698015,0.0771394262539408,0.573258208910918
"ENSNFUG00015000189",5.85824761574067,7.80024291596528e-05,0.00163907125461955,0.0475894070741654,0.962043474395657,0.996139309592197
"ENSNFUG00015000192",0.707696243976113,-0.00080527994154863,0.00632244991512194,-0.127368338596495,0.89864887425397,NA
"ENSNFUG00015000196",233.791794601751,-0.00414789962485803,0.00159736125160274,-2.59671982195396,0.0094118660659958,0.236580697690228
"ENSNFUG00015000197",173.899188473077,0.000497394074342137,0.000729055826126598,0.682244152666255,0.495084580124976,0.908869346495011
"ENSNFUG00015000201",2.77222657538933,0.00208891163707975,0.00221527291840106,0.942959045690624,0.345701851285916,0.853998607644394
"ENSNFUG00015000204",131.617291560331,-0.000837050051583614,0.000686397731160407,-1.21948254428015,0.222661097200199,0.773488038319731
"ENSNFUG00015000207",322.45240296739,-0.00396755671445215,0.00187780094634119,-2.11287395620007,0.0346115575250004,0.417999601613145
"ENSNFUG00015000208",595.588577489518,0.000366080241873612,0.00033089931981839,1.10631911263683,0.268588422103264,0.808960497189732
"ENSNFUG00015000209",965.436636615588,3.5895046930796e-05,0.000503945834916022,0.0712279861123915,0.94321630828147,0.995216968199717
"ENSNFUG00015000213",7606.92409206869,0.000590831260369893,0.000508003285233415,1.16304614073199,0.244810782404399,0.791900894211423
"ENSNFUG00015000214",647.575692728352,-0.00172991609722823,0.000800478711014823,-2.16110194240531,0.0306874655740856,0.398767820116196
"ENSNFUG00015000218",121.682295519038,-0.00278034894756928,0.00126777005273404,-2.1931019285187,0.0283000361158385,0.385442490727721
"ENSNFUG00015000221",453.796376217157,-0.0042687850684743,0.00147959420445616,-2.88510529144937,0.00391282773219091,0.1545214464781
"ENSNFUG00015000228",10.1041855530455,-0.00508996803500295,0.0021475376678211,-2.37014144677018,0.0177812812346579,0.315290661491128
"ENSNFUG00015000230",123.907296880912,-0.000230386468931719,0.000391464333517435,-0.588524800871696,0.556180092114369,0.929451434095788
"ENSNFUG00015000231",64.8970445146049,0.000427964372654273,0.00104796045548605,0.408378360475234,0.682995917849975,0.959311698276195
