"","Intercept","age_young_vs_old","Q0.00"
"ENSNFUG00015000040",2.18024134126341,-0.186524198000488,-0.00662014992644391
"ENSNFUG00015000041",4.53752153556192,-0.424315650802481,0.00024106279357637
"ENSNFUG00015000042",8.84742578922046,-0.191775369280986,0.000281727253836414
"ENSNFUG00015000043",10.7257793201841,-0.14296049997253,-0.00112382483676437
"ENSNFUG00015000044",6.84571723147155,0.521498560357178,-0.000950070737209172
"ENSNFUG00015000045",8.1240362159698,-0.430101729940558,0.000170930806144891
"ENSNFUG00015000046",3.37599350199309,-0.263076032671631,4.24350633899813e-05
"ENSNFUG00015000047",8.63920661972538,0.0548345652346377,3.24214288096927e-05
"ENSNFUG00015000048",6.87349084869222,-0.0610216793912053,-0.000149829104340311
"ENSNFUG00015000049",9.45956905657976,-0.41814592000387,4.5717041039227e-06
"ENSNFUG00015000050",8.06256959075261,-0.193149975025659,3.97201739772056e-05
"ENSNFUG00015000051",9.20723751135582,-0.132887026722902,-0.00053741150527743
"ENSNFUG00015000052",7.59620329792947,-0.410472736821685,1.05107544986068e-05
"ENSNFUG00015000053",1.88009357189934,-0.831307172408564,0.00203201130110466
"ENSNFUG00015000054",8.54728547003257,0.302339463993867,0.000152354877849197
"ENSNFUG00015000055",5.00639233017203,0.497892588565343,0.000508532673578429
"ENSNFUG00015000056",2.71915831619179,0.407367251690728,-0.000248784276809082
"ENSNFUG00015000058",9.58803840269671,-0.0610341745332949,-1.9975158721491e-05
"ENSNFUG00015000063",6.62546275090407,0.0596527755437232,-0.000452402355813579
"ENSNFUG00015000126",8.96264548925262,-0.134430296376724,0.00018661322881298
"ENSNFUG00015000127",8.23405849674589,0.599723398558545,0.000269229466757825
"ENSNFUG00015000133",4.88905680316312,-0.0576338425153049,0.000888472504563919
"ENSNFUG00015000165",-0.854484858284332,1.9851978426968,-0.00261923620431407
"ENSNFUG00015000166",6.19577160163315,2.61700608743909,-0.00475135070136753
"ENSNFUG00015000167",-0.253464620723179,1.47919703724089,-0.000704538012065556
"ENSNFUG00015000168",5.79444017387298,-1.01926531102737,0.000157552178580162
"ENSNFUG00015000176",7.02956228218683,-0.0412328191556151,0.000117880498715007
"ENSNFUG00015000179",7.59729068160498,0.247718062359884,-2.41541011683344e-05
"ENSNFUG00015000180",8.74057731672389,1.96276480883396,-0.00317925687619257
"ENSNFUG00015000184",6.67164605057053,2.55480367143466,-0.00234758075510942
"ENSNFUG00015000189",2.38583752784674,0.745852266262548,-0.000349299990133533
