"","Intercept","age_young_vs_old","Q3.00"
"ENSNFUG00015000040",1.4093262282285,-3.4432102313247,0.00697371303672001
"ENSNFUG00015000041",4.56765279106829,-0.41539180025874,0.000577758919153755
"ENSNFUG00015000042",8.88887176869921,-0.138902953937686,0.000266921454533697
"ENSNFUG00015000043",10.5688255181087,-0.500963158346738,-8.14590963015443e-05
"ENSNFUG00015000044",6.71912594772569,0.41252483923861,-0.0015519742923433
"ENSNFUG00015000045",8.14836101372823,-0.403015262771268,0.000208881696477705
"ENSNFUG00015000046",3.33036398514128,-0.834830861884751,0.00457607768813213
"ENSNFUG00015000047",8.64725843103069,0.0872315223367056,-0.000217339826938373
"ENSNFUG00015000048",6.85589529726085,-0.0535618597628288,-0.000472692678576063
"ENSNFUG00015000049",9.45220848099416,-0.486157997164839,0.000633430411465167
"ENSNFUG00015000050",8.06695774508091,-0.196931168106486,0.000142231361899372
"ENSNFUG00015000051",9.13537117928563,-0.187538050151279,-0.000933839334743856
"ENSNFUG00015000052",7.60484962238055,-0.353966159667135,-0.000514687816744481
"ENSNFUG00015000053",2.18442436826394,-0.714358365046535,0.00378073187107464
"ENSNFUG00015000054",8.58163947167185,0.408956351481304,-0.000652642069223965
"ENSNFUG00015000055",5.09149860118243,0.644929072923099,-7.72138839994548e-05
"ENSNFUG00015000056",2.66288543177091,0.17950080896433,0.00135474931413715
"ENSNFUG00015000058",9.5818171521281,-0.0923004762377523,0.00023535998826301
"ENSNFUG00015000063",6.57513895800382,0.0996992776328809,-0.00162175506084951
"ENSNFUG00015000126",8.98546624908749,-0.135078458629528,0.000508716004396446
"ENSNFUG00015000127",8.26823326425681,0.610672042795139,0.000632328058398551
"ENSNFUG00015000133",5.00684351416472,-0.0402163503092041,0.0021046898592078
"ENSNFUG00015000165",-1.14444324640242,2.00049273955613,-0.00917679801938727
"ENSNFUG00015000166",5.60451306315874,1.6656625590245,-0.00449726651201943
"ENSNFUG00015000167",-0.333623067552053,1.61487516516065,-0.00306911297641168
"ENSNFUG00015000168",5.81366345741289,-1.02590609679388,0.00046830031994422
"ENSNFUG00015000176",7.05592453937474,0.0466931297397899,-0.000532067405510167
"ENSNFUG00015000179",7.59666710123807,0.267447537814366,-0.000248961271990252
"ENSNFUG00015000180",8.32898030149138,1.45014176927033,-0.00396491244454799
"ENSNFUG00015000184",6.35523149667298,2.31639491174383,-0.0037622376422925
"ENSNFUG00015000189",2.31290117407732,0.454873102203749,0.00158502247931619
"ENSNFUG00015000192",-0.713138648841417,-1.47086285249014,0.0112173030435277
"ENSNFUG00015000196",7.73109447987276,1.12296207770527,-0.00519979355911113
"ENSNFUG00015000197",7.51368217044615,-0.490652601483119,0.00139758201141836
"ENSNFUG00015000201",1.40511784988217,-0.633377065235021,0.00542326513333449
