"","Intercept","age_young_vs_old","Q4.00"
"ENSNFUG00015000040",1.40129088543222,-3.4936698300863,0.010173090036432
"ENSNFUG00015000041",4.57080591492264,-0.385286818407122,0.000429551719410024
"ENSNFUG00015000042",8.8906823290702,-0.12396941006033,0.000175263577545277
"ENSNFUG00015000043",10.5722470305211,-0.463291477783348,-0.000560254150578888
"ENSNFUG00015000044",6.71871002095235,0.400644681002005,-0.00198069622643599
"ENSNFUG00015000045",8.15076325585142,-0.382877120860224,3.10832042402789e-05
"ENSNFUG00015000046",3.32537391844323,-0.848120605913016,0.00649517378843353
"ENSNFUG00015000047",8.64824633972334,0.0936637849616969,-0.000384119337123382
"ENSNFUG00015000048",6.85722124421711,-0.0457052351839968,-0.000755767426419691
"ENSNFUG00015000049",9.45186527572941,-0.48544634346752,0.000866956541317009
"ENSNFUG00015000050",8.06662101848667,-0.198763091627378,0.000219959097142891
"ENSNFUG00015000051",9.1355769692283,-0.191000619466168,-0.0012434438080102
"ENSNFUG00015000052",7.60731996877726,-0.338400886131084,-0.000919910519432192
"ENSNFUG00015000053",2.16784675231414,-0.824012289442416,0.00640211199669413
"ENSNFUG00015000054",8.57964375962515,0.393747148717444,-0.000685455195700101
"ENSNFUG00015000055",5.08830307307395,0.621310706788981,0.000205040104994812
"ENSNFUG00015000056",2.66192507988704,0.177795977613403,0.00189065315493667
"ENSNFUG00015000058",9.5814924580311,-0.0936712803394025,0.000342427501301217
"ENSNFUG00015000063",6.57452156389267,0.0883405612443249,-0.00207403427010374
"ENSNFUG00015000126",8.98548686441584,-0.132213125340218,0.000666733027949734
"ENSNFUG00015000127",8.27029872098224,0.629954010880976,0.000629668547968615
"ENSNFUG00015000133",5.00370013751052,-0.0548667211838834,0.00308028700138654
"ENSNFUG00015000165",-1.110609383189,2.14387842934362,-0.0154947110914122
"ENSNFUG00015000166",5.5992131419678,1.55095849615994,-0.00473950748840761
"ENSNFUG00015000167",-0.30995890121617,1.82460399481912,-0.00709221638531304
"ENSNFUG00015000168",5.80758203153525,-1.07009332944971,0.00120106155026643
"ENSNFUG00015000176",7.05493791547283,0.0375049621614005,-0.000609353127054465
"ENSNFUG00015000179",7.59578933662883,0.259790346478733,-0.000243371091529651
"ENSNFUG00015000180",8.32598586613206,1.38119208898088,-0.00456763678995858
"ENSNFUG00015000184",6.34137560304785,2.1818707533498,-0.00328903321513211
"ENSNFUG00015000189",2.31351850703466,0.470899986689978,0.00201110057685611
"ENSNFUG00015000192",-0.735917400781234,-1.67045154068345,0.0171963725195687
"ENSNFUG00015000196",7.73034914230282,1.05491314263436,-0.00629301377238122
"ENSNFUG00015000197",7.51589206685554,-0.463344487118037,0.00160746405759953
"ENSNFUG00015000201",1.4061174050643,-0.590996783779726,0.00710834052550307
"ENSNFUG00015000204",7.02489861542101,0.231471446973401,-0.00162940167931452
"ENSNFUG00015000207",8.04751965081873,1.23544470337907,-0.00420892244541082
"ENSNFUG00015000208",9.30955881320986,-0.484257312431632,0.00115887530862439
"ENSNFUG00015000209",9.97093155957077,-0.177078305606562,-0.000252558149078266
"ENSNFUG00015000213",12.9514081235512,-0.354975521609672,0.00118220150464164
"ENSNFUG00015000214",9.00019150604912,1.2396927815541,-0.0030593704873463
"ENSNFUG00015000218",6.393261867477,1.67140134294606,-0.00328348486376363
"ENSNFUG00015000221",8.4628496359671,1.4920970137506,-0.00509271304975056
"ENSNFUG00015000228",2.87525013973609,1.87141766330758,-0.00721527537450776
"ENSNFUG00015000230",6.97624047142984,0.0516799622926273,-0.00120372578559459
"ENSNFUG00015000231",5.64667047655871,0.875907753340795,0.00150316857788628
"ENSNFUG00015000246",5.91386179708609,0.3629057723173,-0.001390282777298
"ENSNFUG00015000247",8.22498092469434,-0.683136203304333,0.00293313959707374
"ENSNFUG00015000251",1.9247301375125,-0.00491998645205677,0.00638265446429089
"ENSNFUG00015000260",4.72625049869139,-0.408144847204854,0.00395144271043415
"ENSNFUG00015000263",2.45043732534771,0.885816809275803,-0.000944751488936228
"ENSNFUG00015000268",3.92737757077113,1.40328916785106,-0.00416070156673589
"ENSNFUG00015000269",12.9774434949164,-0.781310018002085,0.00127403766919835
"ENSNFUG00015000273",3.50159392908249,0.730028531218432,-0.00250388282628717
"ENSNFUG00015000278",5.72338610310379,0.543272875737255,-0.00365196538513378
"ENSNFUG00015000282",1.56550813166665,0.388653624635154,0.00236379756003474
"ENSNFUG00015000291",3.72061203445245,3.06223139491554,-0.00231734065865266
"ENSNFUG00015000294",4.04607422247375,-0.211272599231331,0.00728678006746331
"ENSNFUG00015000299",7.01887187377953,-0.0278551865726387,-0.000365246542230949
"ENSNFUG00015000302",-0.525123437817382,-0.363020697464253,0.00390826310624126
"ENSNFUG00015000304",8.92596934438576,-0.433221329214811,0.00155207670463876
"ENSNFUG00015000306",6.28669225764859,-0.09305395239078,-0.000278558065693614
"ENSNFUG00015000309",5.98942612878804,0.40326693484357,-0.00558644147579716
"ENSNFUG00015000310",10.2019327997968,-0.390842140346287,-6.80744111804089e-05
"ENSNFUG00015000320",4.31273987221644,-0.569116414304517,-0.0031182593063281
"ENSNFUG00015000330",10.3574251437582,-0.150187418827225,0.000705004518712318
"ENSNFUG00015000338",4.59437645063868,-0.140122332985764,0.00110905476531178
"ENSNFUG00015000351",9.66089886432715,-0.165981354840834,-0.000352602606584048
"ENSNFUG00015000352",8.04857126468017,0.774910517929519,-0.00164674801810732
"ENSNFUG00015000353",-1.77584507835559,0.555981265504609,-0.00656733854737927
"ENSNFUG00015000357",-1.04954884260315,-0.0497435913999593,0.0063914503802436
"ENSNFUG00015000358",-1.48440727595428,-2.27579180253269,0.023342590918562
"ENSNFUG00015000361",10.9964436681874,0.0852753630211877,-0.000642803222197788
"ENSNFUG00015000364",0.952807646543302,0.0163777748151403,-0.00514622580077706
"ENSNFUG00015000368",8.30542854060045,-0.620781815894007,0.00206135005537376
"ENSNFUG00015000375",-0.0893346726056456,1.7127102961899,-0.00623104790796603
"ENSNFUG00015000378",-1.80609883057979,-0.400771236948032,-0.00350408874748842
"ENSNFUG00015000380",0.129914309593452,-0.259482314747628,-0.00458408048583862
"ENSNFUG00015000382",9.25403856960872,0.230425791423766,-0.000552219465394675
"ENSNFUG00015000387",8.17558001854518,-0.0980841718072387,0.000627255406942527
"ENSNFUG00015000388",3.87363935097425,0.480615938990289,-0.0037723439919265
"ENSNFUG00015000392",5.29349308592239,3.02568029697392,-0.00404953105700751
"ENSNFUG00015000397",8.27069052163595,0.165200159439665,0.000451265864242819
"ENSNFUG00015000398",9.11399746384429,-0.187230173038741,0.00218810964948797
"ENSNFUG00015000424",8.88653955059635,-0.160569333867734,0.00120858957350157
"ENSNFUG00015000428",10.8331552776545,-0.179537482694025,0.00287149064969367
"ENSNFUG00015000443",10.8610002549164,0.985502323126825,-4.58808110135531e-05
"ENSNFUG00015000453",6.36284305355411,-0.225212063172811,0.000690372524196066
"ENSNFUG00015000459",5.78363096725221,-0.490328320907475,0.00429148715711006
"ENSNFUG00015000463",8.80224335691142,-0.245785358715797,0.000812586577285645
"ENSNFUG00015000467",9.39403958590195,-0.746542842368953,0.00268626140358013
"ENSNFUG00015000475",7.94540822018436,0.850773877534732,-0.00309755532711246
"ENSNFUG00015000479",7.66513779138167,-0.624221724764406,0.000797580977887747
"ENSNFUG00015000482",8.99621667067614,0.0817453801290559,0.00109637448136522
"ENSNFUG00015000486",8.10034453693699,-0.237118408804074,-0.000556246655436917
"ENSNFUG00015000494",8.60849222960687,0.19701851577133,-0.000293826951519553
"ENSNFUG00015000508",10.5254527142897,0.440846395662448,-0.0029685118466905
"ENSNFUG00015000514",3.82470456994586,0.0717735008474022,0.000551400590736314
"ENSNFUG00015000524",-0.65083466700259,2.66437248682846,-0.0230224525518076
"ENSNFUG00015000527",5.99788650919414,1.12814361478514,-0.00108799720950434
"ENSNFUG00015000537",-1.90230324013427,-0.428083750046018,0.00623756612388325
"ENSNFUG00015000544",-0.269075954949237,0.935442199976062,-0.0151046217761553
"ENSNFUG00015000551",0.720039394998772,-0.14437328829356,0.00528029021694178
"ENSNFUG00015000556",2.96120214390124,-0.342936768012904,0.00674832613467589
"ENSNFUG00015000567",0.308526221198153,-0.0156451356482365,0.010250053697179
"ENSNFUG00015000569",4.52738879330145,1.02121782567214,0.000218222820100413
"ENSNFUG00015000575",-2.2721450830903,-0.253027017335431,0.0144705110107749
"ENSNFUG00015000582",1.85355646376615,-0.479293957319173,0.00511776426362019
"ENSNFUG00015000584",8.49528405475704,0.30934029447306,-0.000631922768887825
"ENSNFUG00015000586",7.64784047595267,0.660519832739496,-0.00245041039772074
"ENSNFUG00015000600",7.05768148351788,-0.110520001397844,0.000831617018961276
"ENSNFUG00015000605",2.91134303667041,2.07666734104143,-0.00108447120934358
"ENSNFUG00015000612",8.57408022589908,0.664301024721828,-0.00168497361454203
"ENSNFUG00015000615",8.26559254942937,0.877005271641876,0.000280361194488504
"ENSNFUG00015000622",6.20643011466595,0.183289285058613,0.000540962651162449
