"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSNFUG00015000040",2.15025829112346,-0.00662014992644391,0.00593681695527544,-1.11510089940726,0.264807186138342,NA
"ENSNFUG00015000041",22.3697216679593,0.00024106279357637,0.00103469231127334,0.232980172897686,0.815776801899547,0.973583975119588
"ENSNFUG00015000042",465.438807340511,0.000281727253836414,0.00033358227365633,0.844551033088349,0.398361558597321,0.867159054344755
"ENSNFUG00015000043",1388.86718028095,-0.00112382483676437,0.000883736153809431,-1.27167461908174,0.203488752124645,0.748455564717247
"ENSNFUG00015000044",109.707480302001,-0.000950070737209172,0.000493778102622409,-1.92408438560446,0.0543440069497155,0.475726858710076
"ENSNFUG00015000045",264.933105529275,0.000170930806144891,0.000350415227276619,0.487795029552061,0.625695032412457,0.937520876729152
"ENSNFUG00015000046",9.97344002314359,4.24350633899813e-05,0.00165567966142827,0.0256299961753319,0.979552460436329,0.997637127593061
"ENSNFUG00015000047",405.492250988033,3.24214288096927e-05,0.000252610389182464,0.128345587505802,0.89787548978668,0.985868569738071
"ENSNFUG00015000048",112.823574520479,-0.000149829104340311,0.000490099583363448,-0.305711552154495,0.759824276819674,0.966698123199453
"ENSNFUG00015000049",653.880061821092,4.5717041039227e-06,0.000408034734720817,0.0112042032574769,0.991060526240057,0.99913108773944
"ENSNFUG00015000050",259.159213027146,3.97201739772056e-05,0.000342235464192363,0.116060952569427,0.907604234958208,0.985873112757244
"ENSNFUG00015000051",529.078651079918,-0.00053741150527743,0.000419084590620261,-1.28234613561439,0.199721250532576,0.744960009156056
"ENSNFUG00015000052",180.274064801136,1.05107544986068e-05,0.000449756089504874,0.023369899249564,0.98135521536503,0.997982334785692
"ENSNFUG00015000053",4.45184059973759,0.00203201130110466,0.0021125896066583,0.961858041287488,0.336120917830213,0.8375034072961
"ENSNFUG00015000054",409.601333627553,0.000152354877849197,0.000376999496634445,0.404124884009929,0.686120887177804,0.952044732119529
"ENSNFUG00015000055",39.4804978908921,0.000508532673578429,0.00113807441121899,0.446836049176909,0.654993440784345,0.945298557589157
"ENSNFUG00015000056",6.98584843599677,-0.000248784276809082,0.00146307395703935,-0.170042174294809,0.864976969299537,0.981924979790964
"ENSNFUG00015000058",758.100470095401,-1.9975158721491e-05,0.00020490617436352,-0.0974844158968748,0.922341709594559,0.987425274565094
"ENSNFUG00015000063",92.8158113924579,-0.000452402355813579,0.0004837134239056,-0.935269383596575,0.349649489359416,0.84551225722933
"ENSNFUG00015000126",500.97349674339,0.00018661322881298,0.000317765968501948,0.587266250356307,0.557024904000645,0.921948108373177
"ENSNFUG00015000127",363.860925150646,0.000269229466757825,0.000602796851517356,0.446633830419191,0.655139465028415,0.945440211534247
"ENSNFUG00015000133",33.9983074212329,0.000888472504563919,0.000626758108888485,1.41756842386861,0.156316804422856,0.692330246814752
"ENSNFUG00015000165",0.587714428971847,-0.00261923620431407,0.00533279566962323,-0.491156302731383,0.623315902351798,NA
"ENSNFUG00015000166",64.2484903845189,-0.00475135070136753,0.00156048682824646,-3.04478744412517,0.00232844807329479,0.0958684771711948
"ENSNFUG00015000167",1.1018236552873,-0.000704538012065556,0.00794720215474829,-0.0886523330282481,0.929358216036863,NA
"ENSNFUG00015000168",48.6311647164503,0.000157552178580162,0.000710508781600259,0.221745575368275,0.824511949176656,0.975160015821186
"ENSNFUG00015000176",132.018551655622,0.000117880498715007,0.000486937917509095,0.242085273042647,0.808714089270785,0.973503263989317
"ENSNFUG00015000179",202.765991593553,-2.41541011683344e-05,0.000346721203845389,-0.0696643323236305,0.94446083146351,0.991872212739849
"ENSNFUG00015000180",405.220191464863,-0.00317925687619257,0.00105344984552295,-3.01794802069036,0.0025449255194801,0.100720909988402
"ENSNFUG00015000184",143.305235612249,-0.00234758075510942,0.00138178108636041,-1.6989527344689,0.0893280896536436,0.570933540511228
"ENSNFUG00015000189",5.85824761574067,-0.000349299990133533,0.00159116250449173,-0.219525025977853,0.826241087356394,0.975508150787725
"ENSNFUG00015000192",0.707696243976113,-0.00184828781275227,0.00601049550311477,-0.307510056665785,0.758455169514938,NA
"ENSNFUG00015000196",233.791794601751,-0.00416992172419452,0.00146060216989222,-2.8549332666692,0.00430458727457882,0.134511541274774
"ENSNFUG00015000197",173.899188473077,0.000273290577614697,0.000680517641011494,0.401592201501917,0.687984170095821,0.952044732119529
"ENSNFUG00015000201",2.77222657538933,0.00179438690792449,0.00203967630826194,0.879741016089722,0.37899962436167,NA
"ENSNFUG00015000204",131.617291560331,-0.000906463033733137,0.000629837785381825,-1.43920078275966,0.15009364369505,0.687220644499818
"ENSNFUG00015000207",322.45240296739,-0.0040366729782755,0.00170951734133044,-2.36129396332063,0.0182112883909539,0.29243950267346
"ENSNFUG00015000208",595.588577489518,0.000312707218900273,0.000307130934001504,1.0181560509914,0.308603801630094,0.818936306095588
"ENSNFUG00015000209",965.436636615588,3.09816167606953e-06,0.000465694239161552,0.00665278076372073,0.994691888097972,0.999599844951974
"ENSNFUG00015000213",7606.92409206869,0.000520239779747903,0.000471694266154054,1.10291732818731,0.270063068424938,0.795091761825298
"ENSNFUG00015000214",647.575692728352,-0.00152845734396936,0.000748279003109031,-2.04263027242347,0.0410890520311935,0.425967290584798
"ENSNFUG00015000218",121.682295519038,-0.00264860771805204,0.00117656283622989,-2.25114004666261,0.0243766686956428,0.338309789227161
"ENSNFUG00015000221",453.796376217157,-0.00440389440714562,0.00132293022738362,-3.32889393256609,0.000871916030541171,0.0527407560247068
"ENSNFUG00015000228",10.1041855530455,-0.00592339295130054,0.00223593935902799,-2.64917423962498,0.00806887194170022,0.190157699256131
"ENSNFUG00015000230",123.907296880912,-0.000163044622117152,0.000362707834480545,-0.449520541376389,0.653056193382832,0.944730659791898
"ENSNFUG00015000231",64.8970445146049,0.000461122848091818,0.000973147714240105,0.473846715502889,0.6356092188367,0.940191646265044
"ENSNFUG00015000246",62.9158502054764,4.305479263257e-05,0.000554811041266514,0.077602624011024,0.938144155019374,0.990230897833148
"ENSNFUG00015000247",281.997123566963,0.000345004021352982,0.000547786860288261,0.629814342701522,0.528816060584216,0.914465529464397
"ENSNFUG00015000251",4.50430575623662,-0.000256871518179474,0.00207719623286608,-0.123662615074671,0.901582413239174,0.985868569738071
"ENSNFUG00015000260",26.7651464770421,0.00105232889175164,0.000839023520683578,1.2542305022561,0.209758236118836,0.752641996715298
"ENSNFUG00015000263",6.69423611053498,-0.00187030363759763,0.00185712403854289,-1.00709677909564,0.313888268881474,0.821719359931927
"ENSNFUG00015000268",19.5950074999243,-0.00199699216646535,0.00110889520930971,-1.80088447465517,0.0717210905292114,0.528120737084786
"ENSNFUG00015000269",7259.98465057885,0.00015380961939215,0.000687693791897409,0.22366003765684,0.823021843522695,0.974685679283383
"ENSNFUG00015000273",12.6682843403124,-0.000162064091320216,0.00111991333343318,-0.144711279419629,0.884938833217482,0.983165687192609
"ENSNFUG00015000278",54.652176080862,-0.000874784288135272,0.0007314018772466,-1.19603779447278,0.231681810577426,0.768794912915437
"ENSNFUG00015000282",3.42156248972513,0.000771099721963829,0.00206238312086469,0.373887719581672,0.708487853304325,NA
"ENSNFUG00015000291",36.868144987151,-0.00227575382796308,0.00585533188758965,-0.388663507321682,0.697525080924824,0.954571604406095
"ENSNFUG00015000294",18.9344494559297,0.00297681161192749,0.000840640132741206,3.54112478810705,0.000398425093047578,0.0317278111395025
"ENSNFUG00015000299",127.758950362479,0.000523634710725345,0.000757899258391971,0.690902788104499,0.489626633896068,0.902607709587739
"ENSNFUG00015000302",0.717489094580274,-0.001784327747539,0.00484016866768202,-0.368649910787825,0.712388688320817,NA
"ENSNFUG00015000304",464.258062539874,0.000398652632287533,0.000360841682908857,1.10478542576864,0.269252577127601,0.794363481579472
"ENSNFUG00015000306",76.3382243402611,-8.9594502326157e-05,0.000455559611937972,-0.19666910757303,0.844086486502555,0.979025314027073
"ENSNFUG00015000309",61.5119386208738,-0.00148277586322722,0.00103897409826341,-1.42715382963406,0.153535559376984,0.689398573024515
"ENSNFUG00015000310",1096.49777774259,-0.00049405477760972,0.000538045177506208,-0.918240323051718,0.358493062456144,0.849357124446486
"ENSNFUG00015000320",17.2682119036567,0.000145478290597402,0.00135726707531586,0.10718471938439,0.914642437753564,0.986599409659027
"ENSNFUG00015000330",1294.87034615213,3.40438097204541e-06,0.000199321829340093,0.0170798200243119,0.986372937852865,0.998529198572148
"ENSNFUG00015000338",24.1718614597718,-1.59775323417599e-07,0.000878072791063141,-0.000181961364756729,0.999854815837199,0.999854815837199
"ENSNFUG00015000351",778.798992967203,-0.000135674597754478,0.00024683231232338,-0.54966303429807,0.582550515624225,0.928168086471648
"ENSNFUG00015000352",304.675403701691,0.000292369805024286,0.000683523377758235,0.427739291058599,0.668840940538905,0.948236879734589
"ENSNFUG00015000353",0.20860616628841,0.0030298967527075,0.0109154586473228,0.27757851049627,0.781335930243416,NA
"ENSNFUG00015000357",0.567701168878208,0.00082888396203612,0.00517068702310865,0.160304415705631,0.872641280630215,NA
"ENSNFUG00015000358",0.39719088890585,0.00755890294324917,0.00697652257793454,1.08347717058303,0.278596678664088,NA
"ENSNFUG00015000361",2048.6864044302,-0.000327022032172549,0.000359538178769465,-0.909561352543411,0.363053888130668,0.852717103461563
"ENSNFUG00015000364",1.83364911937185,-0.00343997904091121,0.0043781532710321,-0.785714621658339,0.432034695147592,NA
"ENSNFUG00015000368",296.192414170897,0.000314606918769369,0.000580675593338078,0.541794630907106,0.587959990516063,0.928632585788685
"ENSNFUG00015000375",1.26516986180224,-0.00432965009533037,0.00440745260362888,-0.982347511069216,0.32592867559147,NA
"ENSNFUG00015000378",0.213639719155634,-0.00183748183826861,0.0116661517716454,-0.157505394601037,0.874846556683445,NA
"ENSNFUG00015000380",0.991613654896807,-0.000133868523125098,0.00454431522339923,-0.0294584588753423,0.97649894956586,NA
"ENSNFUG00015000382",632.40608670456,-4.40452560904456e-05,0.000330431215040022,-0.133296293103273,0.893959059116208,0.985072093024444
"ENSNFUG00015000387",287.137234747165,0.000403532655876917,0.000365632270638455,1.10365711202756,0.269741906529535,0.795091761825298
"ENSNFUG00015000388",14.935341163049,-0.000667331451076087,0.00117527640400365,-0.567808090762974,0.570165285424639,0.925374479131604
"ENSNFUG00015000392",100.556642255774,-0.00171191483854815,0.00394453447773944,-0.433996672664204,0.664290857270113,0.947430345130482
"ENSNFUG00015000397",322.809544700615,0.000180164139128836,0.0003983805101186,0.452241348541874,0.651095123512264,0.944295923789653
"ENSNFUG00015000398",560.969104137972,0.00108952104651056,0.000464370184790705,2.34623385005136,0.0189642048752521,0.300099424744675
"ENSNFUG00015000424",471.160996703059,0.000200056284427804,0.000309413423235715,0.646566274777933,0.517912690960368,0.912136878389011
"ENSNFUG00015000428",1880.61853207419,0.000926170400267856,0.000637941636727292,1.45181055279478,0.146554288859432,0.684046245537755
"ENSNFUG00015000443",2377.45902187987,0.000508749189872467,0.000509239991909198,0.99903620680911,0.317777152102208,0.823924985841913
"ENSNFUG00015000453",80.092530175136,0.0003824427822938,0.00069256679346769,0.552210683360812,0.580804015693602,0.927543877798904
"ENSNFUG00015000459",55.4054188747556,0.00103108880125935,0.000862330296812819,1.19570053965431,0.231813440701565,0.768794912915437
"ENSNFUG00015000463",433.576107921995,0.000399637830574013,0.000274824425259075,1.45415688651865,0.145902814963037,0.682814116417325
"ENSNFUG00015000467",625.568574159036,0.000563438543963236,0.000399059938078855,1.41191457773418,0.15797511485077,0.693916935762422
"ENSNFUG00015000475",278.91845994962,-0.000724776296356069,0.000550710773649329,-1.31607430076822,0.188149105659132,0.737133508419826
"ENSNFUG00015000479",185.505461870259,0.000426015225043838,0.000563191207636035,0.756430887534652,0.449390894888483,0.886548662425508
"ENSNFUG00015000482",532.142616409669,0.000258643154643411,0.000253370106134801,1.0208116442348,0.307343686519105,0.818879821344538
"ENSNFUG00015000486",259.630823126736,-2.82510330321322e-05,0.000528525475923252,-0.0534525473588231,0.957371338282551,0.994042901027136
"ENSNFUG00015000494",403.699778037868,-8.02932427972328e-05,0.000466194332981807,-0.172231271632309,0.863255714002038,0.981880736533312
"ENSNFUG00015000508",1514.22995846346,-0.000156730991420644,0.000612499215368178,-0.25588766073183,0.798037582810799,0.971487654745144
"ENSNFUG00015000514",14.8326084050748,-0.000235162196133965,0.00129371870388676,-0.181772278183395,0.855761440862459,0.98023052168568
"ENSNFUG00015000524",0.924429628338571,-0.00652401467064058,0.00692391449585209,-0.942243679431471,0.346067895687823,NA
"ENSNFUG00015000527",82.8334899053598,-0.000713006156393936,0.000779844573134611,-0.9142926436328,0.360563094994795,0.85023296480418
"ENSNFUG00015000537",0.235778192796796,-0.00260786864629163,0.0106958640668531,-0.243820286981163,0.807370007677206,NA
"ENSNFUG00015000544",0.816692372404838,-0.00283569238024362,0.00565898309126919,-0.501095750686832,0.616303737277551,NA
"ENSNFUG00015000551",1.81602638348474,-3.015731338586e-05,0.00267580502924186,-0.011270370246073,0.991007735954626,NA
"ENSNFUG00015000556",8.53462161936923,0.00125606906728403,0.00145949137057759,0.860621098970219,0.389446761528658,0.863462146569805
"ENSNFUG00015000567",1.68090431412009,-0.00115200837925125,0.00367323037729513,-0.313622686551873,0.753807626905047,NA
"ENSNFUG00015000569",30.0469211401603,-0.000226465806534115,0.000988072880330402,-0.229199496355357,0.818713864013687,0.973729605564968
"ENSNFUG00015000575",0.213707516921896,0.000734414486250519,0.0109490444904648,0.0670756691956181,0.94652146343206,NA
"ENSNFUG00015000582",3.84503184731723,0.00186654528942123,0.00244473387880625,0.7634963075542,0.445167463600965,NA
"ENSNFUG00015000584",379.500776214823,-0.000182427247638993,0.000372368274241139,-0.489910822856129,0.624197004166772,0.937462493758846
"ENSNFUG00015000586",219.453173091645,-0.000859310233507961,0.00048331894597438,-1.77793616547676,0.0754143395932555,0.536149736040104
"ENSNFUG00015000600",132.851756585422,0.00048243779951281,0.000414584638705079,1.16366540019347,0.244559636346001,0.777878452305665
"ENSNFUG00015000605",13.9104075727857,-0.0015509465142617,0.00230462553063239,-0.672971158935359,0.500965639536657,0.90600461677742
"ENSNFUG00015000612",425.212079889663,-0.000880339982149378,0.000517943669928069,-1.69968286758218,0.0891905936215323,0.570594439077305
"ENSNFUG00015000615",384.636119249145,0.000536139906063342,0.000753938556639824,0.711118832352634,0.477010600867447,0.898729575922446
"ENSNFUG00015000622",77.5739800698025,0.000593115089684276,0.000460279371232467,1.28859802709846,0.197537869671124,0.742954539102689
"ENSNFUG00015000627",0.213639719155634,-0.00183748183826861,0.0116661517716454,-0.157505394601037,0.874846556683445,NA
"ENSNFUG00015000629",477.71133829377,0.00111009472612165,0.00063398261378309,1.75098607120709,0.079948309319439,0.546710235716621
"ENSNFUG00015000634",62.6960420213388,0.00105068352630468,0.000530127455530639,1.98194512535289,0.0474853826610536,0.450170735647281
"ENSNFUG00015000636",3.37199161104482,-0.0027015464590051,0.0030847145879529,-0.87578490066983,0.38114698006845,NA
"ENSNFUG00015000637",6.45044806807623,0.000779480939558351,0.00173224593206845,0.449982837383594,0.652722815795549,0.944730659791898
"ENSNFUG00015000640",5.31082637459508,-0.00217676773949147,0.0020044365110682,-1.0859748999141,0.277490097246411,0.801463353499257
"ENSNFUG00015000645",2.80600244037521,-0.0014535826635301,0.00331133865212792,-0.438971309260685,0.660682325428663,NA
"ENSNFUG00015000647",1.0843914414701,-0.00408775897108765,0.00414071803859118,-0.987210172967597,0.323539615700662,NA
"ENSNFUG00015000648",0.553640898670162,-0.00539544724173209,0.00536910312460477,-1.00490661410592,0.314941819311069,NA
"ENSNFUG00015000652",1.18579593577553,-0.000957464080736892,0.00379954454814129,-0.251994434755417,0.801045365449682,NA
"ENSNFUG00015000654",0.237777553870352,0.00324110597036064,0.0104564054060562,0.309963686802297,0.756588570980969,NA
